Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior
price_1SVmXtEcQzNRltK0dsh8BZtb,prod_TShxgAqy3DrHtk,LO_10,,txcd_99999999,,2025-11-21 05:06,23100,jpy,,,,,per_unit,,inclusive
price_1SVmXPEcQzNRltK0QsEq7lUL,prod_TShxDBbCL0y2tE,LO_09,,txcd_99999999,,2025-11-21 05:05,25300,jpy,,,,,per_unit,,inclusive
price_1SVmWLEcQzNRltK0m5RbuiD0,prod_TShwusA8fYsD5L,LO_07,,txcd_99999999,,2025-11-21 05:04,23100,jpy,,,,,per_unit,,inclusive
price_1SVmVxEcQzNRltK05Sl0sUlq,prod_TShvLWPmCvxDw4,LO_08,,txcd_99999999,,2025-11-21 05:04,20900,jpy,,,,,per_unit,,inclusive
price_1SVmUsEcQzNRltK0qwk91vZQ,prod_TShuqKygChMEuJ,LO_05,,txcd_99999999,,2025-11-21 05:03,20900,jpy,,,,,per_unit,,inclusive
price_1SVmTwEcQzNRltK0vOhiKAkS,prod_TShtpGUwJLziUV,LO_04,,txcd_99999999,,2025-11-21 05:02,16500,jpy,,,,,per_unit,,inclusive
price_1SVmPPEcQzNRltK01zgMhZEW,prod_TShptChHuDuR7D,LO_03,,txcd_99999999,,2025-11-21 04:57,16500,jpy,,,,,per_unit,,inclusive
price_1SVmP2EcQzNRltK05KJowWeL,prod_TShoaHMsIIlGhu,LO_02,,txcd_99999999,,2025-11-21 04:57,11000,jpy,,,,,per_unit,,inclusive
price_1SVmKtEcQzNRltK08jvbqA2w,prod_TShknxhxHEdrez,LO_01,,txcd_99999999,,2025-11-21 04:52,11000,jpy,,,,,per_unit,,inclusive
price_1SRanLEcQzNRltK0IPX6MFwN,prod_SoEGyBKVCd6kxQ,VNSH,,txcd_99999999,,2025-11-09 15:44,126500,jpy,,,,,per_unit,,inclusive
price_1SRadQEcQzNRltK0SAMtMg7O,prod_SrMk1MRXi2EYKq,LIMINAL LAMP S,,txcd_99999999,,2025-11-09 15:34,68182,jpy,,,,,per_unit,,exclusive
price_1SRaVdEcQzNRltK0QfQwITuO,prod_SoEGyBKVCd6kxQ,VNSH,,txcd_99999999,,2025-11-09 15:26,115000,jpy,,,,,per_unit,,exclusive
price_1Rve0nEcQzNRltK0TD20siMZ,prod_SrMk1MRXi2EYKq,LIMINAL LAMP S,,txcd_99999999,,2025-08-13 12:42,75000,jpy,,,,,per_unit,,inclusive
price_1RsboBEcQzNRltK07kdrLMy7,prod_SoEGyBKVCd6kxQ,VNSH,,txcd_99999999,,2025-08-05 03:45,105600,jpy,,,,,per_unit,,inclusive
